Rank,Team Name
61,BATE
83,B. Mönchengladbach
22,Man. City
49,Lille
4,Real Madrid
31,Dortmund
66,Be?ikta?
35,Basel
116,Austria Wien
69,CFR Cluj
13,Shakhtar
79,Dinamo Zagreb
4,Real Sociedad
10,Valencia
15,Schalke
59,Malaga
28,PSV Eindhoven
16,Marseille
56,Wolfsburg
64,Steaua
24,Tottenham
129,Legia
42,Leverkusen
27,Ajax
5,Man. United
2,Bayern
25,Dynamo Kyiv
45,København
38,Olympiacos
9,Benfica
74,Plze?
8,Porto
62,Celtic
63,Club Brugge
59,Málaga
46,Napoli
128,Gent
1,Barcelona
20,Juventus
43,Roma
51,Anderlecht
11,Atletico
41,Galatasaray
3,Chelsea
21,Zenit
99,Montpellier
23,Sporting CP
76,Astana
40,Sevilla
70,M. Tel-Aviv
6,Arsenal
58,Spartak Moskva
18,CSKA Moskva
140,Nordsjælland
14,Milan
19,Paris St-Germain
29,Braga
28,PSV
11,Atlético Madrid
