Rank,Team,
65,BATE,
81,B. Mönchengladbach,
22,Man. City,
49,Lille,
1,Real Madrid,
15,Dortmund,
66,Beşiktaş,
20,Basel,
91,Austria Wien,
80,CFR Cluj,
18,Shakhtar,
90,Dinamo Zagreb,
84,Real Sociedad,
8,Valencia,
14,Schalke,
52,Málaga,
29,PSV Eindhoven,
105,Ludogorets,
25,Marseille,
68,Wolfsburg,
56,Steaua,
19,Tottenham,
127,Legia,
24,Leverkusen,
30,Ajax,
6,Man. United,
3,Bayern,
34,Dynamo Kyiv,
50,København,
27,Olympiacos,
5,Benfica,
54,Plzeň,
10,Porto,
62,Celtic,
69,Club Brugge,
52,Malaga,
31,Napoli,
134,Gent,
2,Barcelona,
16,Juventus,
55,Roma,
44,Anderlecht,
7,Atletico,
36,Galatasaray,
4,Chelsea,
21,Zenit,
104,Montpellier,
33,Sporting CP,
96,Astana,
23,Sevilla,
108,M. Tel-Aviv,
9,Arsenal,
63,Spartak Moskva,
28,CSKA Moskva,
140,Nordsjælland,
11,Milan,
17,Paris St-Germain,
40,Braga,
29,PSV,
7,Atlético Madrid,
