Rank,Team
87,Rostov
69,BATE
36,B. Mönchengladbach
12,Man. City
92,Lille
1,Real Madrid
7,Dortmund
43,Beşiktaş
29,Monaco
22,Basel
112,Austria Wien
116,CFR Cluj
18,Shakhtar
83,Dinamo Zagreb
80,Real Sociedad
21,Valencia
14,Schalke
48,Málaga
42,PSV Eindhoven
62,Ludogorets
75,Marseille
35,Wolfsburg
20,Tottenham
74,Legia
15,Leverkusen
28,Ajax
16,Man. United
114,Malmö
2,Bayern
24,Dynamo Kyiv
54,København
27,Olympiacos
9,Benfica
49,Plzeň
13,Porto
47,Celtic
52,Club Brugge
48,Malaga
17,Napoli
59,Gent
3,Barcelona
5,Juventus
38,Roma
32,Anderlecht
4,Atletico
31,Galatasaray
10,Chelsea
19,Zenit
111,Montpellier
56,Leicester
57,Sporting CP
118,Astana
8,Sevilla
186,M. Tel-Aviv
11,Arsenal
104,Spartak Moskva
51,CSKA Moskva
148,Nordsjælland
41,Milan
6,Paris St-Germain
55,Braga
42,PSV
4,Atlético Madrid
