Wojciech Szcz?sny 1,"36'57""",,,4,-,-,-,1,-,-,1,5,-,-,-,-,10,18,1,2,0,0,11,20,55%
Bacary Sagna 3,"93'59""",,-,,6,-,2,1,5,1,1,2,-,-,1,-,1,5,16,21,2,3,19,29,66%
Per Mertesacker 4,"93'59""",,3,4,,1,-,-,-,1,6,1,-,-,-,-,0,0,12,13,4,4,16,17,94%
Laurent Koscielny 6,"93'59""",,5,-,3,,2,1,-,-,-,-,4,-,1,3,3,3,14,18,2,6,19,27,70%
Jack Wilshere 10,"93'59""",,-,3,1,2,,4,2,3,1,1,1,-,-,2,1,4,13,18,6,7,20,29,69%
Mesut Özil 11,"93'59""",,-,1,-,2,1,,1,2,3,2,-,-,1,3,0,2,10,17,6,12,16,31,52%
Oxlade-Chamberlain 15,"75'05""",,-,4,1,-,3,-,,-,2,1,-,-,-,-,1,2,6,13,4,8,11,23,48%
Santi Cazorla 19,"38'56""",,-,-,-,-,1,4,3,,-,2,1,-,-,-,3,3,6,7,2,2,11,12,92%
Mathieu Flamini 20,"93'59""",,1,1,-,5,3,4,1,2,,1,2,-,-,-,2,2,16,16,2,4,20,22,91%
Yaya Sanogo 22,"93'59""",,-,1,-,-,5,5,2,-,1,,-,-,-,-,0,1,3,12,11,18,14,31,45%
Kieran Gibbs 28,"30'33""",,-,-,-,2,1,2,-,2,-,1,,-,-,-,1,3,6,8,1,2,8,13,62%
"?ukasz Fabia?ski 21","55'03""",,-,2,-,-,-,-,1,-,-,5,-,,-,1,8,20,1,2,0,0,9,22,41%
Tomáš Rosický 7,"18'54""",,-,-,-,1,-,-,-,-,-,-,-,-,,-,0,0,1,2,0,3,1,5,20%
Nacho Monreal 17,"63'26""",,-,-,-,2,1,5,-,-,1,2,-,-,-,,0,1,3,9,8,9,11,19,58%
Total passes received:,,,9,20,11,15,19,27,15,11,16,23,8,0,3,9,30,64,108,158,48,78,186,300,62%
