Matz Sels 1,"95'09""",,,1,4,-,4,-,1,5,4,3,-,-,11,16,9,9,2,2,22,27,81%
Thomas Matton 8,"84'13""",,-,,-,1,1,3,2,-,-,2,1,-,1,1,3,3,6,7,10,11,91%
Laurent Depoitre 9,"95'09""",,-,3,,2,-,2,3,-,1,7,4,-,1,1,11,15,10,14,22,30,73%
Renato Neto 10,"95'09""",,2,3,-,,2,10,3,11,5,6,11,-,7,10,28,29,18,18,53,57,93%
Stefan Mitrovi? 13,"95'09""",,2,-,1,-,,3,-,15,5,1,-,-,0,3,22,23,5,6,27,32,84%
Sven Kums 14,"95'09""",,1,3,8,11,1,,8,14,6,7,7,3,10,11,48,51,11,15,69,77,90%
Kenneth Saief 15,"95'09""",,-,2,-,5,2,8,,9,-,1,1,-,1,2,18,22,9,15,28,39,72%
Nana Asare 21,"95'09""",,1,3,4,8,5,20,10,,2,-,2,-,5,7,37,39,13,13,55,59,93%
Lasse Nielsen 23,"95'09""",,3,-,5,7,9,1,-,2,,3,3,-,6,9,23,26,4,5,33,40,82%
Thomas Foket 32,"95'09""",,2,-,2,7,1,3,1,1,3,,9,-,3,6,19,22,7,10,29,38,76%
Danijel Milicevic 77,"95'09""",,-,-,7,6,1,7,2,2,5,5,,-,10,14,17,23,8,15,35,52,67%
Moses Simon 27,"10'56""",,-,-,-,-,-,-,-,-,-,-,-,,0,0,0,0,0,0,0,0,0%
Total passes received:,,,11,15,31,47,26,57,30,59,31,35,38,3,55,80,235,262,93,120,383,462,83%
