ndré ter Stegen 1,"93'09""",,,3,4,-,2,-,13,3,-,2,19,-,-,8,11,37,37,1,1,46,49,94%
Ivan Rakiti? 4,"61'02""",,1,,2,5,6,-,2,-,3,2,4,-,-,0,1,12,12,13,14,25,27,93%
ergio Busquets 5,"93'09""",,2,4,,2,8,2,8,3,9,8,7,7,1,4,5,48,50,9,11,61,66,92%
Luis Suárez 9,"93'09""",,-,1,6,,2,4,-,3,2,3,-,1,1,0,0,13,18,10,14,23,32,72%
Lionel Messi 10,"93'09""",,-,5,5,4,,9,1,1,10,3,1,1,1,4,4,17,21,20,20,41,45,91%
Neymar 11,"93'09""",,-,1,2,4,11,,1,6,2,5,3,1,-,6,8,13,18,17,22,36,48,75%
ier Mascherano 14,"93'09""",,9,1,2,4,1,3,,4,13,3,11,1,-,16,20,34,34,2,3,52,57,91%
Lucas Digne 19,"93'09""",,5,-,2,1,-,15,-,,-,5,9,4,-,4,5,23,26,14,15,41,46,89%
Sergi Roberto 20,"93'09""",,2,4,9,3,11,2,12,1,,-,9,2,1,3,4,40,44,13,17,56,65,86%
André Gomes 21,"76'03""",,-,1,5,4,5,8,3,8,4,,1,-,-,6,7,21,21,12,14,39,42,93%
Samuel Umtiti 23,"93'09""",,13,4,11,2,-,6,7,11,10,8,,6,-,6,9,62,65,10,11,78,85,92%
Arda Turan 7,"32'07""",,-,-,3,1,-,6,2,3,3,-,2,,1,2,5,13,14,6,7,21,26,81%
Rafinha 12,"17'06""",,-,-,1,-,-,-,-,-,1,-,-,-,,0,0,2,2,0,1,2,3,67%
Total passes received:,,,32,24,52,30,46,55,49,43,57,39,66,23,5,59,79,335,362,127,150,521,591,88%
